Name,Address,Stars,Reviews,Phone,Hours,Website,GoogleURL
My Spa Puebla," GAMAN WELLNESS CENTER, Atlixcáyotl 4008",3.9,17,,,,https://www.google.com/maps/place/My+Spa+Puebla/data=!4m7!3m6!1s0x85cfc7067a6869f1:0xa57288c1ef0f5393!8m2!3d19.0132696!4d-98.2586035!16s%2Fg%2F11rcndnvz6!19sChIJ8WloegbHz4URk1MP78GIcqU?authuser=0&hl=es-419&rclk=1
TARA SPA PUEBLA," Antiguo Camino Real a Cholula 6661 Plaza-local",4.7,153,,,,https://www.google.com/maps/place/TARA+SPA+PUEBLA/data=!4m7!3m6!1s0x85cfc7ab534afe33:0x1e2315599fa236f9!8m2!3d19.0488243!4d-98.267395!16s%2Fg%2F11b7ljl9vv!19sChIJM_5KU6vHz4UR-Tain1kVIx4?authuser=0&hl=es-419&rclk=1
Paulina's Spa," C. Tlaxcala 10117",5.0,5,,,,https://www.google.com/maps/place/Paulina%27s+Spa/data=!4m7!3m6!1s0x85cfb96baa385b5b:0x66ccddd8e8b16025!8m2!3d18.999676!4d-98.2369539!16s%2Fg%2F11l1p3bzcm!19sChIJW1s4qmu5z4URJWCx6NjdzGY?authuser=0&hl=es-419&rclk=1
AYSA SPA," Av. Orión Sur 713",5.0,5,,,,https://www.google.com/maps/place/AYSA+SPA/data=!4m7!3m6!1s0x85cfc7ae04edf1e3:0xe34c2d1d25419891!8m2!3d19.0249754!4d-98.2583968!16s%2Fg%2F11q57_8y_1!19sChIJ4_HtBK7Hz4URkZhBJR0tTOM?authuser=0&hl=es-419&rclk=1
Cliníc Spa," Rincón de Arboledas Sur 33",5.0,1,,,,https://www.google.com/maps/place/Clin%C3%ADc+Spa/data=!4m7!3m6!1s0x85cfc75def1a1c4f:0x30700bbb3fcc79fe!8m2!3d19.010796!4d-98.2423376!16s%2Fg%2F11hyjmtw7t!19sChIJTxwa713Hz4UR_nnMP7sLcDA?authuser=0&hl=es-419&rclk=1
Her Spa & Nails," Av 41 Pte 2110",5.0,6,,,,https://www.google.com/maps/place/Her+Spa+%26+Nails/data=!4m7!3m6!1s0x85cfc7004706b3a3:0xf00ee3a8b8fb99de!8m2!3d19.0366736!4d-98.2235877!16s%2Fg%2F11yjgrmbmj!19sChIJo7MGRwDHz4UR3pn7uKjjDvA?authuser=0&hl=es-419&rclk=1
Body Project Wellness and Spa," Cam. Real a Cholula 4702-Local 4",5.0,12,,,,https://www.google.com/maps/place/Body+Project+Wellness+and+Spa/data=!4m7!3m6!1s0x85cfc798fd7b3925:0x320ee99034c95b59!8m2!3d19.0442598!4d-98.2435557!16s%2Fg%2F11vk2yfymf!19sChIJJTl7_ZjHz4URWVvJNJDpDjI?authuser=0&hl=es-419&rclk=1
A.M. SPA,B Aquiles Serdán 4535,5.0,10,,,,https://www.google.com/maps/place/A.M.+SPA/data=!4m7!3m6!1s0x85cfc10042c42b6d:0x8685d437467076b9!8m2!3d19.0241188!4d-98.2023659!16s%2Fg%2F11vyhkpghc!19sChIJbSvEQgDBz4URuXZwRjfUhYY?authuser=0&hl=es-419&rclk=1
Isbella Spa," Av. Eduardo Cue Merlo 619",4.8,23,,,,https://www.google.com/maps/place/Isbella+Spa/data=!4m7!3m6!1s0x85cfc0bc4426aaab:0x18678a97dcf7069a!8m2!3d19.021783!4d-98.2030059!16s%2Fg%2F11hd1w7_ps!19sChIJq6omRLzAz4URmgb33JeKZxg?authuser=0&hl=es-419&rclk=1
AKVO SPA," Av. Del Castillo 5832 Plaza Centro Lomas, Local #10, Lomas de Angelópolis",4.8,20,,,,https://www.google.com/maps/place/AKVO+SPA/data=!4m7!3m6!1s0x85cfb87f534ce3cd:0xb0c5530f87767527!8m2!3d19.002407!4d-98.2705233!16s%2Fg%2F11f5h22slv!19sChIJzeNMU3-4z4URJ3V2hw9TxbA?authuser=0&hl=es-419&rclk=1
HAIRSPA LAS TORRES," ",4.3,55,,,,https://www.google.com/maps/place/HAIRSPA+LAS+TORRES/data=!4m7!3m6!1s0x85cfc71e33933471:0x378a87ca52040b3f!8m2!3d19.0262546!4d-98.2527618!16s%2Fg%2F11ft5ym31k!19sChIJcTSTMx7Hz4URPwsEUsqHijc?authuser=0&hl=es-419&rclk=1
Aqua salón spa," Cto Juan Pablo II 1104",3.9,8,,,,https://www.google.com/maps/place/Aqua+sal%C3%B3n+spa/data=!4m7!3m6!1s0x85cfc12cae15f17b:0xf1660f759b1a5575!8m2!3d19.0267887!4d-98.2190824!16s%2Fg%2F11fn1t304l!19sChIJe_EVrizBz4URdVUam3UPZvE?authuser=0&hl=es-419&rclk=1
VM Spa," Calle 95 Pte. 1713-local 4",4.8,4,,,,https://www.google.com/maps/place/VM+Spa/data=!4m7!3m6!1s0x85cfc7601a9a6b95:0x1e19cedabaa8ac39!8m2!3d19.0047297!4d-98.2439649!16s%2Fg%2F11fxb9b6s7!19sChIJlWuaGmDHz4UROayoutrOGR4?authuser=0&hl=es-419&rclk=1
Siloe Spa," Av. Central 101",0.0,0,,,,https://www.google.com/maps/place/Siloe+Spa/data=!4m7!3m6!1s0x85cfc79e654a423b:0x3b1d9507614ba84!8m2!3d19.0273632!4d-98.2275893!16s%2Fg%2F11tk49l5fp!19sChIJO0JKZZ7Hz4URhLoUdlDZsQM?authuser=0&hl=es-419&rclk=1
Bellazul Spa," C. 20 Sur 3506-7-3506-7",4.9,18,,,,https://www.google.com/maps/place/Bellazul+Spa/data=!4m7!3m6!1s0x85cfc093844f990d:0x10496e612f34dd30!8m2!3d19.0232294!4d-98.1936033!16s%2Fg%2F11f125n_qm!19sChIJDZlPhJPAz4URMN00L2FuSRA?authuser=0&hl=es-419&rclk=1
Centro Cosmiatrico spa vr," Av 47 Pte 902",4.9,30,,,,https://www.google.com/maps/place/Centro+Cosmiatrico+spa+vr/data=!4m7!3m6!1s0x85cfc1b09bcf44b1:0x493b48c76fdfad45!8m2!3d19.0290751!4d-98.2157229!16s%2Fg%2F11j4s4bj50!19sChIJsUTPm7DBz4URRa3fb8dIO0k?authuser=0&hl=es-419&rclk=1
Center Beauty Temis Spa," plaza Zen palmeiras, Av. 31 Pte. 2511-local 6",5.0,7,,,,https://www.google.com/maps/place/Center+Beauty+Temis+Spa/data=!4m7!3m6!1s0x85cfc19a8da471f5:0x975c9ebdfc4df839!8m2!3d19.0416684!4d-98.2237117!16s%2Fg%2F11s7_7d57r!19sChIJ9XGkjZrBz4UROfhN_L2eXJc?authuser=0&hl=es-419&rclk=1
Model Art Spa Dorada," Privada 37A Ote. 618",3.8,83,,,,https://www.google.com/maps/place/Model+Art+Spa+Dorada/data=!4m7!3m6!1s0x85cfc0bf749c9b2d:0x7b2cebce8f2446e8!8m2!3d19.0267231!4d-98.2022626!16s%2Fg%2F11g7y78dbs!19sChIJLZucdL_Az4UR6EYkj87rLHs?authuser=0&hl=es-419&rclk=1
NARAH Wellness and Spa," Av. 33 Pte. 3303",4.9,28,,,,https://www.google.com/maps/place/NARAH+Wellness+and+Spa/data=!4m7!3m6!1s0x85cfc7361af15ccd:0x855e20183e67dc7b!8m2!3d19.043538!4d-98.2293574!16s%2Fg%2F11fjmv6chk!19sChIJzVzxGjbHz4URe9xnPhggXoU?authuser=0&hl=es-419&rclk=1
Vittana Head Spa," Blvd. Lomas Nte. 5501-local 107",5.0,8,,,,https://www.google.com/maps/place/Vittana+Head+Spa/data=!4m7!3m6!1s0x85cfc7a443738989:0x34b157fda776fb4e!8m2!3d19.0038547!4d-98.2661155!16s%2Fg%2F11x5hs2qzf!19sChIJiYlzQ6THz4URTvt2p_1XsTQ?authuser=0&hl=es-419&rclk=1
Vidabel spa," Atlixcáyotl 5423",5.0,11,,,,https://www.google.com/maps/place/Vidabel+spa/data=!4m7!3m6!1s0x85cfc781c6b36f09:0xac677aa2ae92c7b8!8m2!3d19.0072647!4d-98.2657682!16s%2Fg%2F11bccj9b3z!19sChIJCW-zxoHHz4URuMeSrqJ6Z6w?authuser=0&hl=es-419&rclk=1
Sani Spa," Anillo Perif. Ecológico 3507",5.0,2,,,,https://www.google.com/maps/place/Sani+Spa/data=!4m7!3m6!1s0x85cfc79df7668d31:0x8eea6fc5352031d1!8m2!3d19.0205853!4d-98.2645094!16s%2Fg%2F11g01wd8qr!19sChIJMY1m953Hz4UR0TEgNcVv6o4?authuser=0&hl=es-419&rclk=1
Model Art Spa Lomas de Angelópolis," Atlixcáyotl 6510",4.6,11,,,,https://www.google.com/maps/place/Model+Art+Spa+Lomas+de+Angel%C3%B3polis/data=!4m7!3m6!1s0x85cfc77438e8682b:0xb3c7e00f32e572d9!8m2!3d19.0053611!4d-98.2677481!16s%2Fg%2F11wtg456_2!19sChIJK2joOHTHz4UR2XLlMg_gx7M?authuser=0&hl=es-419&rclk=1
Eternal Medical Spa," Calle 24 Sur 15-Local A",4.5,26,,,,https://www.google.com/maps/place/Eternal+Medical+Spa/data=!4m7!3m6!1s0x85cfc09a4120a2d3:0xeabdcdbde0bd7b61!8m2!3d19.0161963!4d-98.1923596!16s%2Fg%2F1jmcm8rk_!19sChIJ06IgQZrAz4URYXu94L3Nveo?authuser=0&hl=es-419&rclk=1
Zenda Spa," Calle Mariano Abasolo 150",5.0,34,,,,https://www.google.com/maps/place/Zenda+Spa/data=!4m7!3m6!1s0x85cfc080db73fa5d:0xdaa6daf5d53deb54!8m2!3d19.0118491!4d-98.1798418!16s%2Fg%2F1ptyjjt9s!19sChIJXfpz24DAz4URVOs91fXapto?authuser=0&hl=es-419&rclk=1
